UserName,ScreenName,Location,TweetAt,OriginalTweet,Sentiment
1395570287224233993,,,2021-05-21 08:10:59 +0530,On this blog post f looks at several new insights on the impact of COVID 19 particularly with regards to SGD4 rethinking education financing and the role of the non state actor in catering to the needs of children in low income communities pandemic,Positive
1395552880937947136,,,2021-05-21 07:01:49 +0530,Zero Covids we don t know what the risks are of long Covid in kids so we must impose unprecedented restrictions on kids education communication and play because we clearly know what the impact of those restrictions are on their long term development,Positive
1395478872951386115,,,2021-05-21 02:07:44 +0530,hypocrisy is energy placed for equity education for staff amp family by these schools but then they casually ignore the disparate impact of COVID on Black Brown Pacific Islander families they have a chance to promote equity and public health not on Zoom save lives but hesitate,Negative
1395477828297125889,,,2021-05-21 02:03:35 +0530,radtke3 Agreed Perhaps the food equivalent of the Covid vaccine is new innovations in food technologies On this topic education is key ensuring people know about our food systems how food is produced impact on environment of diff types of foods etc That knowledge is rare today,Positive
1395448694049107969,,,2021-05-21 00:07:49 +0530,Register for The State of Hispanic Education The Impact of COVID19 on Students amp Families a roundtable looking at the impact COVID 19 has had on Hispanic amp Latino students Co hosted by amp,Neutral
1395446299785240576,,,2021-05-20 23:58:18 +0530,Special Discussion Covid 19 Impact on Education Sector V6 News A PHP Error was encountered Severity Notice Message Undefined property stdClass detail Filename frontend page rss php Line phuket phuketnews guestposts,Positive
1395444228268990470,,,2021-05-20 23:50:04 +0530,Burnet CISD applying for 4 9 million grant through U S Department of Education s Elementary and Secondary School Emergency Relief Fund to help address impact of COVID 19 on students and education burnet schools dailytrib news,Neutral
1395435292706971652,,,2021-05-20 23:14:34 +0530,Tonight at 9 PM EAT in our Twitter Space Discussions we will talk about The impact of the COVID 19 on health education economic sectors amp social issues of the Galmudug regional state of Somalia will be among the panellists at the session,Positive
1395424672590831620,,,2021-05-20 22:32:22 +0530,Impact of the COVID 19 pandemic on school based Initial Teacher Education Holding onto respectful assessment processes By Felicity Dewsbery Christine Parker and Angela Prodger Pen Green Teaching School Alliance,Positive
1395419653153955842,,,2021-05-20 22:12:25 +0530,Watching very informative workshop hosted by s Forum for Children s Well Being on impact of COVID on students education amp mental health Excellent presentation from Lukas Tucker on large and small scale things schools can do to support LGBTQ youth childrensforum,Positive
1395418990999216128,,,2021-05-20 22:09:47 +0530,The have launched their report on The Economic Impact of COVID 19 on Young People which we contributed to It includes 7 recommendations covering a range of economic employment amp education policy areas in recognition of the ongoing support young people need,Positive
1395418231112929287,,,2021-05-20 22:06:46 +0530,Lets hope it s not just going to be spent on the old way of teaching Use that money to invest in teachers who have the most impact on a kids education as well as smaller class sizes and updated buildings Covid has shown us ways to change and improve education,Positive
1395396394425327616,,,2021-05-20 20:40:00 +0530,NEW webinar May 26 5 30 p m Register Join education leaders from amp among others to discuss the impact of COVID 19 on the state of education within the Hispanic community,Positive
1395388936579698696,,,2021-05-20 20:10:22 +0530,Business property adviser today published The Impact of COVID 19 on Global Early Childhood Education amp Care Markets report The report analysed how five countries worked through Covid19 and detailed future market predictions Read more,Positive
1395378785952825344,,,2021-05-20 19:30:02 +0530,The gendered impact of Covid 19 on access to quality education needs to be addressed urgently And a one size fits all strategy is not the answer as this report correctly exemplifies SDG4 genderequity,Neutral
