UserName,ScreenName,Location,TweetAt,OriginalTweet,Sentiment
1396109306018336770,,,2021-05-22 19:52:51 +0530,You meet the nicest people working at Trucare Connections We care about our clients because for it us it s personal We know how hard it is to find the right cultural fit in a home health care service provider To make the right choice learn more here,Positive
1395798095099748361,,,2021-05-21 23:16:13 +0530,You meet the nicest people working at Trucare Connections We care about our clients because for it us it s personal We know how hard it is to find the right cultural fit in a home health care service provider To make the right choice learn more here,Positive
1395360299369238534,,,2021-05-20 18:16:34 +0530,You meet the nicest people working at Trucare Connections We care about our clients because for it us it s personal We know how hard it is to find the right cultural fit in a home health care service provider To make the right choice learn more here,Positive
1395329165063241731,,,2021-05-20 16:12:51 +0530,a Youth friendly health care Service Provider recognises and acknowledges the Diversity of sexual Identities and the Complexities of Womxn and Thrid Gendered Persons through providing LBTQ tailored Health care Services such as NenaNaBinti,Positive
1395265199364403200,,,2021-05-20 11:58:40 +0530,The reasons for a pregnant person to decide this is the right health care option for them are varied and diverse and deeply personal This is not enough time to decide find a service provider and book an appointment 3,Positive
1395252053853700099,,,2021-05-20 11:06:26 +0530,Congratulations to and team on their IABCA Exporter or Service Provider of the Year Award and their contribution to improve systems and the delivery of health care around the globe,Neutral
1395022161371451393,,,2021-05-19 19:52:56 +0530,You meet the nicest people working at Trucare Connections We care about our clients because for it us it s personal We know how hard it is to find the right cultural fit in a home health care service provider To make the right choice learn more here,Positive
1395016811075276810,,,2021-05-19 19:31:40 +0530,The following video was filmed by Limpopo Mental Health Society and their mental health care users This video shows some of the challenges faced by the organisation as a mental health service provider in Limpopo SYM SAFMH SpeakYourMind MentalHealth,Negative
1395016504119267333,,,2021-05-19 19:30:27 +0530,The following video was filmed by Limpopo Mental Health Society and their mental health care users This video shows some of the challenges faced by the organisation as a mental health service provider in Limpopo SYM SAFMH SpeakYourMind MentalHealth,Negative
1395016229216309255,,,2021-05-19 19:29:21 +0530,The following video was filmed by Limpopo Mental Health Society and their mental health care users This video shows some of the challenges faced by the organisation as a mental health service provider in Limpopo SYM SAFMH SpeakYourMind MentalHealth,Negative
1394780692450619403,,,2021-05-19 03:53:25 +0530,You meet the nicest people working at Trucare Connections We care about our clients because for it us it s personal We know how hard it is to find the right cultural fit in a home health care service provider To make the right choice learn more here,Positive
1394710815278866435,,,2021-05-18 23:15:45 +0530,You meet the nicest people working at Trucare Connections We care about our clients because for it us it s personal We know how hard it is to find the right cultural fit in a home health care service provider To make the right choice learn more here,Positive
1394627742277115907,,,2021-05-18 17:45:39 +0530,Your application 19767 has been regretted due to Document Mismatched KP received reply We are a service provider in the health care sector wherein we supply IVD kits COVID RT PCR Kits Equipment s amp Application Support to Hospitals amp diagnostic centers Kindly approve,Positive
1394583596933914631,,,2021-05-18 14:50:14 +0530,Hurry up and install best ever health care service provider app get it installed and consulted and tested by doctor in your fingertips HealthTunnelAppChallenge,Positive
1394579085649530883,,,2021-05-18 14:32:18 +0530,This is India s best health care service provider HealthTunnelAppChallenge,Positive
1394272890372173824,,,2021-05-17 18:15:36 +0530,You meet the nicest people working at Trucare Connections We care about our clients because for it us it s personal We know how hard it is to find the right cultural fit in a home health care service provider To make the right choice learn more here,Positive
1394235061684383745,,,2021-05-17 15:45:16 +0530,I have to be honest I don t trust the NHS anymore and I think a new institution is needed What has gone on in my own care has been appalling so the real checks and balances aren t in the institution My health care is now reliant on a service provider I don t trust,Positive
1393976152943841280,,,2021-05-16 22:36:28 +0530,Though total cases seems to decrease but case rate is higher than yesterday administrative service provider what s they doing only harassment of normal public health care workers doing best n u also testing rate is too poor,Positive
1393934853696065543,,,2021-05-16 19:52:21 +0530,You meet the nicest people working at Trucare Connections We care about our clients because for it us it s personal We know how hard it is to find the right cultural fit in a home health care service provider To make the right choice learn more here,Positive
1393848548307861506,,,2021-05-16 14:09:25 +0530,Tama zuellig is logisctics but it will not do the inoculation Zuelig will only deliver vaccine to health care service provider So its a must na mangontrata ang private cos with clinics or hospitals The megavaxx will add more capacity to clinics and hospitals,Positive
1393821286762041344,,,2021-05-16 12:21:05 +0530,Order no M33076912 I must say as a health care service provider the has been the worst with my experience twice in 2 months period Take orders cancels calls customer to not place order m app showing no real time availability of stock What a mess,Negative
1393693557119127552,,,2021-05-16 03:53:32 +0530,You meet the nicest people working at Trucare Connections We care about our clients because for it us it s personal We know how hard it is to find the right cultural fit in a home health care service provider To make the right choice learn more here,Positive
1393639091200315395,,,2021-05-16 00:17:06 +0530,In 2014 I use to receive 125k W2 based salary plus 25k package as an employee of ex leader of NYC health care service provider organization with fully integrated internal software,Neutral
1393574220395855872,,,2021-05-15 19:59:20 +0530,You meet the nicest people working at Trucare Connections We care about our clients because for it us it s personal We know how hard it is to find the right cultural fit in a home health care service provider To make the right choice learn more here,Positive
1393244351799701508,,,2021-05-14 22:08:33 +0530,You meet the nicest people working at Trucare Connections We care about our clients because for it us it s personal We know how hard it is to find the right cultural fit in a home health care service provider To make the right choice learn more here,Positive
1392940456267366401,,,2021-05-14 02:00:59 +0530,Yeah but ABNB is a consumer platform while TDOC is a b2b service provider We forget that in health care the consumer isn t paying the bill or freely choosing providers,Positive
1392896710234488835,,,2021-05-13 23:07:09 +0530,You meet the nicest people working at Trucare Connections We care about our clients because for it us it s personal We know how hard it is to find the right cultural fit in a home health care service provider To make the right choice learn more here,Positive
1392551180660875267,,,2021-05-13 00:14:08 +0530,You meet the nicest people working at Trucare Connections We care about our clients because for it us it s personal We know how hard it is to find the right cultural fit in a home health care service provider To make the right choice learn more here,Positive
1392379012308246529,,,2021-05-12 12:50:00 +0530,There is a great need to provide inclusive and comprehensive mental health care for All LGBQ ITGNC persons and this has to include Quality Affordable and Accessible Mental health care and Gender Affirming Care accompanied with sensitization education for service provider MHAW,Positive
1392145727850176515,,,2021-05-11 21:23:00 +0530,You meet the nicest people working at Trucare Connections We care about our clients because for it us it s personal We know how hard it is to find the right cultural fit in a home health care service provider To make the right choice learn more here,Positive
1391725348409257985,,,2021-05-10 17:32:34 +0530,I pray for you in the name of whatever it is you believe that you will never find yourself at the mercy of a frustrated or apathetic Nigerian health care service provider Amen,Negative
1391464066141536257,,,2021-05-10 00:14:20 +0530,You meet the nicest people working at Trucare Connections We care about our clients because for it us it s personal We know how hard it is to find the right cultural fit in a home health care service provider To make the right choice learn more here,Positive
1391458812855570435,,,2021-05-09 23:53:27 +0530,You meet the nicest people working at Trucare Connections We care about our clients because for it us it s personal We know how hard it is to find the right cultural fit in a home health care service provider To make the right choice learn more here,Positive
1391264597651464199,,,2021-05-09 11:01:43 +0530,The way we recruit in this country amp attitude to work needs to change From uniform personnel to health care providers no public private Service Provider should have any business in his or her role if they are not passionate amp dedicated enough JusticeForPeju JusticeForOmolara,Positive
1391113018000515073,,,2021-05-09 00:59:23 +0530,You meet the nicest people working at Trucare Connections We care about our clients because for it us it s personal We know how hard it is to find the right cultural fit in a home health care service provider To make the right choice learn more here,Positive
1391064467182702593,,,2021-05-08 21:46:28 +0530,New post Telecounselor for State of Minnesota LADC and LMHC LCSW or LPC Required MN St Cloud For over 30 years New Season Treatment Centers have been a leading national health care service provider o,Positive
1390750168665010176,,,2021-05-08 00:57:33 +0530,The problem with this precedent is the fact that people believe in the American model of private healthcare where you shouldn t make a mistake because I m paying you and so you see your doctor as a service provider and not as your health care advocate,Neutral
1390673321558257670,,,2021-05-07 19:52:11 +0530,You meet the nicest people working at Trucare Connections We care about our clients because for it us it s personal We know how hard it is to find the right cultural fit in a home health care service provider To make the right choice learn more here,Positive
1390401904610533385,,,2021-05-07 01:53:41 +0530,You meet the nicest people working at Trucare Connections We care about our clients because for it us it s personal We know how hard it is to find the right cultural fit in a home health care service provider To make the right choice learn more here,Positive
1390376882911289356,,,2021-05-07 00:14:15 +0530,You meet the nicest people working at Trucare Connections We care about our clients because for it us it s personal We know how hard it is to find the right cultural fit in a home health care service provider To make the right choice learn more here,Positive
1390306848197255170,,,2021-05-06 19:35:57 +0530,to be the exclusive health care service provider for WDW and DLR,Neutral
1390009333719707652,,,2021-05-05 23:53:44 +0530,You meet the nicest people working at Trucare Connections We care about our clients because for it us it s personal We know how hard it is to find the right cultural fit in a home health care service provider To make the right choice learn more here,Positive
1389883135052165127,,,2021-05-05 15:32:16 +0530,Done properly and at appropriate times hand hygiene prevents transmission of infections during health care delivery thereby protecting both the healthcare service provider and patient SecondsSavelives,Positive
1389608820574412800,,,2021-05-04 21:22:15 +0530,You meet the nicest people working at Trucare Connections We care about our clients because for it us it s personal We know how hard it is to find the right cultural fit in a home health care service provider To make the right choice learn more here,Positive
1389351843071934465,,,2021-05-04 04:21:06 +0530,Also a health care reform that basically leaves at the hands of corporate service provider companies how much can they charge you for treatment based on assumptions of not following health guidelines that are also in charge of the same companies,Positive
1388967250233810944,,,2021-05-03 02:52:52 +0530,I need excellent in customer service sales Representative health care service provider,Positive
1388551367472467970,,,2021-05-01 23:20:18 +0530,JEEVANSH HEALTH CARE SERVICE all type of patient home care related attender service provider contact 083053 99907 found out on a simple online search try if it helps,Neutral
1388544729026121735,,,2021-05-01 22:53:55 +0530,You meet the nicest people working at Trucare Connections We care about our clients because for it us it s personal We know how hard it is to find the right cultural fit in a home health care service provider To make the right choice learn more here,Positive
1388501177222930434,,,2021-05-01 20:00:52 +0530,Dear team in this difficulty time you are supporting such fake service provider like YNB Health Care who take people hard core money will you please help me to get refund mine,Negative
1388499218206183426,,,2021-05-01 19:53:05 +0530,You meet the nicest people working at Trucare Connections We care about our clients because for it us it s personal We know how hard it is to find the right cultural fit in a home health care service provider To make the right choice learn more here,Positive
1388187622170927104,,,2021-04-30 23:14:55 +0530,You meet the nicest people working at Trucare Connections We care about our clients because for it us it s personal We know how hard it is to find the right cultural fit in a home health care service provider To make the right choice learn more here,Positive
1387702741498277889,,,2021-04-29 15:08:10 +0530,Their language Their music And their stories I d also like to tell you about those who watch and listen to NBC because they see the national broadcaster as a service provider who in times of crisis think COVID 19 for example airs shows about health risks health care,Neutral
1387379830434455561,,,2021-04-28 17:45:02 +0530,For Essays Guru Health Care Service Provider xa0Presentation,Neutral
1387162319831146501,,,2021-04-28 03:20:43 +0530,My great aunt was a local health care service provider possibly a N killer Continued provided some health care once she was in the US My other great aunt carried on a decades long affair with hubby s bf and then married the lover when his wife died,Positive
1387147933750079491,,,2021-04-28 02:23:34 +0530,You meet the nicest people working at Trucare Connections We care about our clients because for it us it s personal We know how hard it is to find the right cultural fit in a home health care service provider To make the right choice learn more here,Positive
1387107859138289671,,,2021-04-27 23:44:19 +0530,You meet the nicest people working at Trucare Connections We care about our clients because for it us it s personal We know how hard it is to find the right cultural fit in a home health care service provider To make the right choice learn more here,Positive
1386556653177384962,,,2021-04-26 11:14:01 +0530,A good education facility and a dependable health care service provider are the most important necessities of the current generation Thus Utkal Greenex chooses this locality for their upcoming project the latest booming hub of Bhubaneswar UtkalGreenex InvestmentOppurtunity,Positive
1386271381705281538,,,2021-04-25 16:20:27 +0530,Download the best health care service provider app Health Tunnel in just a click HealthTunnelApp,Positive
1386031051219349508,,,2021-04-25 00:25:28 +0530,2 3 Registering for Homebound vaccinations is dependent on the health care service they are receiving If thru their primary care provider or home care amp community service provider they can contact them If thru ON Health LHINs call 416 506 9888 reposted w correct,Positive
1386023122026082304,,,2021-04-24 23:53:58 +0530,You meet the nicest people working at Trucare Connections We care about our clients because for it us it s personal We know how hard it is to find the right cultural fit in a home health care service provider To make the right choice learn more here,Positive
1385983071225356288,,,2021-04-24 21:14:49 +0530,You meet the nicest people working at Trucare Connections We care about our clients because for it us it s personal We know how hard it is to find the right cultural fit in a home health care service provider To make the right choice learn more here,Positive
1385625230069182466,,,2021-04-23 21:32:53 +0530,50 workers misclassified as independent contractors by a Tennessee home health care service provider received 358 675 in back wages to resolve FLSA overtime violations,Neutral
1384914676652388352,,,2021-04-21 22:29:24 +0530,You meet the nicest people working at Trucare Connections We care about our clients because for it us it s personal We know how hard it is to find the right cultural fit in a home health care service provider To make the right choice learn more here,Positive
