UserName,ScreenName,Location,TweetAt,OriginalTweet,Sentiment
1396299215039569920,,,2021-05-23 08:27:29 +0530,The entertainment and tourism industry are the going to be the biggest money makers right after COVID 19 normalisation Use this information as you see fit,Positive
1396286520106131457,,,2021-05-23 07:37:02 +0530,PM Imran Pakistan Billion Tree Naya Pakistan Housing Mahmond DAM Free NIC Tourism Industry Health Cards Construction Industry Textile Agriculture Reforms COVID 19 Control Hospital improvement AHSAS Program Shelter Homes PM Portal Free Computer Training GDP 3 94 20 21,Positive
1396244995137437697,,,2021-05-23 04:52:02 +0530,Tourism industry hit hard by COVID 19 pandemic in Colombia,Negative
1396239554487726080,,,2021-05-23 04:30:25 +0530,Big Island hotel occupancy rates topped 53 in April a sign the state s tourism industry is on a slow climb back to normal a year after the COVID 19 pandemic took hold HotelOccupancy TouristsComingBack BigIslandNews,Negative
1396232173527572482,,,2021-05-23 04:01:05 +0530,Tourism Industry Hit Hard By Covid 19 Pandemic In Colombia Health,Negative
1396212545556402178,,,2021-05-23 02:43:05 +0530,Tourism industry hit hard by COVID 19 pandemic in Colombia,Negative
1396181020450361344,,,2021-05-23 00:37:49 +0530,Its been a year since the Covid 19 pandemic brought the world s travel amp tourism industry to a near standstill Now that Florida has lifted all restrictions how does it really look wanderlust travel travelrestrictions travelblogger holiday,Positive
1396139115666575360,,,2021-05-22 21:51:18 +0530,Unless the number of new COVID 19 cases decrease dramatically in capital Male tourism industry in Maldives is on a nose dive And we all know what that means Thank you everyone who voted in absolutely useless local council elections The country is in a good shape today,Positive
1395996879276724226,,,2021-05-22 12:26:07 +0530,mwangi muya do matoro josh Nganda Covid 19 is the excuse not a reason for the stagnation in the tourism industry Balala like most CS s in the Jubilee cabinet is liability in the tourism industry not an asset,Positive
1395894874768093187,,,2021-05-22 05:40:47 +0530,Here s how much of a hit Whatcom s tourism industry took from the COVID 19 pandemic BellinghamExperience WashingtonState,Positive
1395841686652297218,,,2021-05-22 02:09:26 +0530,Declining COVID 19 cases boost Turkish tourism industry morale,Neutral
1395705943665504258,,,2021-05-21 17:10:02 +0530,Covid 19 statistics of Maldives is monitored globally The current presentation of case updates is fear inducing and adversely impacts the Tourism Industry The backlog of previous days must be identified and COVID19 statistics must be presented accurately,Positive
1395704743637536775,,,2021-05-21 17:05:16 +0530,At building new partnerships and projects whilst gaining valuable insights relating to the reactivation of the sport tourism industry post Covid 19 FITUR2021 LavaSports SportsTourism,Positive
1395660839810633729,,,2021-05-21 14:10:48 +0530,Marie Linde Deputy CEO tr at EMD2021 speaking of sustainable tourism During the COVID 19 crisis supporting the transition of the tourism industry has been for sustainable and green recovery in V stra G taland,Positive
1395620713315241988,,,2021-05-21 11:31:22 +0530,Declining COVID 19 cases boost Turkish tourism industry xa0morale,Neutral
1395565974754144258,,,2021-05-21 07:53:51 +0530,Hotel occupancy nearly doubles in Columbia as tourism industry bounces back Tourism in the City of Columbia is starting to bounce back after an unprecedented year due to COVID 19 left many businesses mostly empty via,Positive
1395565614828163074,,,2021-05-21 07:52:25 +0530,The Work in Paradise campaign is a positive initiative for our tourism industry which will help address the workforce challenges that have hampered the recovery of businesses across this sector from the impacts of COVID 19 Register your interest here,Positive
1395519798302318592,,,2021-05-21 04:50:22 +0530,whirl I say India thought they had COVID 19 bet too Also once mates are vaccinated and he s had a second dose of Pfizer fucker the borders will open Our billion dollar tourism industry needs to be open by December Two faces he will lie that he never said 2022,Neutral
1395494738300751879,,,2021-05-21 03:10:47 +0530,The uneven vaccine rollout in many parts of Latin America and the Caribbean is fueling a budding vaccination tourism industry where the privileged are flying thousands of miles to the U S to come get a COVID 19 shot,Positive
1395494720353230848,,,2021-05-21 03:10:43 +0530,The uneven vaccine rollout in many parts of Latin America and the Caribbean is fueling a budding vaccination tourism industry where the privileged are flying thousands of miles to the U S to come get a COVID 19 shot,Positive
1395494720248426497,,,2021-05-21 03:10:43 +0530,The uneven vaccine rollout in many parts of Latin America and the Caribbean is fueling a budding vaccination tourism industry where the privileged are flying thousands of miles to the U S to come get a COVID 19 shot,Positive
1395494613134323717,,,2021-05-21 03:10:17 +0530,The uneven vaccine rollout in many parts of Latin America and the Caribbean is fueling a budding vaccination tourism industry where the privileged are flying thousands of miles to the U S to come get a COVID 19 shot,Positive
1395494613067108357,,,2021-05-21 03:10:17 +0530,The uneven vaccine rollout in many parts of Latin America and the Caribbean is fueling a budding vaccination tourism industry where the privileged are flying thousands of miles to the U S to come get a COVID 19 shot,Positive
1395461471883055104,,,2021-05-21 00:58:35 +0530,Gov Mike Dunleavy has launched a national ad campaign promoting a post pandemic revival of Alaska s tourism industry But the campaign relies on outdated data that claims the state s COVID 19 vaccination rate is higher than it currently is,Negative
1395453028694695941,,,2021-05-21 00:25:02 +0530,France yesterday eased some covid 19 restrictions which included tourism attractions The European nation also generates more than 6 GDP from tourism industry making it the best in Europe,Positive
1395406700979449857,,,2021-05-20 21:20:57 +0530,Declining COVID 19 cases boost Turkish tourism industry morale,Neutral
1395400578633814016,,,2021-05-20 20:56:37 +0530,NEW The COVID 19 pandemic has cost Ottawa s tourism industry 2 6 billion the head of Ottawa Tourism said Thursday warning it will take years for the sector to fully recover ottnews,Positive
1395400564859719682,,,2021-05-20 20:56:34 +0530,NEW The COVID 19 pandemic has cost Ottawa s tourism industry 2 6 billion the head of Ottawa Tourism said Thursday warning it will take years for the sector to fully recover ottnews,Positive
1395360937683480577,,,2021-05-20 18:19:06 +0530,News India LatestStories Travel As Singapore Covid 19 Cases Increase Tourism Board Tighten Regulations and Measures for Tourism Industry,Neutral
1395360936236445701,,,2021-05-20 18:19:06 +0530,As Singapore Covid 19 Cases Increase Tourism Board Tighten Regulations and Measures for Tourism Industry,Neutral
1395360935976443904,,,2021-05-20 18:19:06 +0530,As Singapore Covid 19 Cases Increase Tourism Board Tighten Regulations and Measures for Tourism Industry,Neutral
1395360935296991239,,,2021-05-20 18:19:06 +0530,As Singapore Covid 19 Cases Increase Tourism Board Tighten Regulations and Measures for Tourism Industry,Neutral
1395360934059601925,,,2021-05-20 18:19:05 +0530,As Singapore Covid 19 Cases Increase Tourism Board Tighten Regulations and Measures for Tourism Industry,Neutral
1395360933824798721,,,2021-05-20 18:19:05 +0530,As Singapore Covid 19 Cases Increase Tourism Board Tighten Regulations and Measures for Tourism Industry,Neutral
1395360933065609223,,,2021-05-20 18:19:05 +0530,As Singapore Covid 19 Cases Increase Tourism Board Tighten Regulations and Measures for Tourism Industry,Neutral
1395360933027880962,,,2021-05-20 18:19:05 +0530,As Singapore Covid 19 Cases Increase Tourism Board Tighten Regulations and Measures for Tourism Industry,Neutral
1395360932302184448,,,2021-05-20 18:19:05 +0530,As Singapore Covid 19 Cases Increase Tourism Board Tighten Regulations and Measures for Tourism Industry,Neutral
1395360932025434117,,,2021-05-20 18:19:05 +0530,As Singapore Covid 19 Cases Increase Tourism Board Tighten Regulations and Measures for Tourism Industry,Neutral
