UserName,ScreenName,Location,TweetAt,OriginalTweet,Sentiment
1396305474618675200,,,2021-05-23 08:52:21 +0530,Odisha Odisha Respected Ministry Thank you for the information Being a common citizen request you please focus on vaccination mostly rural areas Then we can stop COVIDEmergency COVID19Vaccine,Negative
1396305074247258114,,,2021-05-23 08:50:46 +0530,UPDATED Additionally over the 127M Americans fully vaccinated Yeah 106M more Hang on guys COVID19Vaccine HerdImmunity OurWorldInData,Positive
1396304880814329857,,,2021-05-23 08:50:00 +0530,Transmission is concentrated in the Central Division at this time FijiNews TeamFiji COVID19Vaccine,Neutral
1396304786958557185,,,2021-05-23 08:49:37 +0530,what could be the motivation behind manipulating covid19 reported cases to portray towns with high non white populations a high democrat vote as having higher infection rates appears it may be to encourage uptake of the covid19vaccine in these pop,Positive
1396304513447841792,,,2021-05-23 08:48:32 +0530,Additionally over the 127M Americans fully vaccinated Yeah 106M more Hang on guys COVID19Vaccine HerdImmunity OurWorldInData,Positive
1396304297692778496,,,2021-05-23 08:47:41 +0530,AMERICA DOCTORS SPEAK UP TEN MEDICAL FACTS REGARDING THE COVID 19 EXPERIMENTAL VACCINES COVID19 COVID19Vaccine COVIDSecondWave COVIDmalaysia vaccine KerajaanGagal AstraZeneca,Positive
1396303326988414976,,,2021-05-23 08:43:49 +0530,BBC news saying vaccines only 33 effective against Indian variant until 2nd jab when nearer 90 COVID19Vaccine,Positive
1396303067276972038,,,2021-05-23 08:42:47 +0530,PCR tests were never accurate and should stop COVID19 Covid 19 CovidVaccine COVID19Vaccine COVIDSecondWave coronavirus CoronavirusPandemic CoronaSecondWave CoronaVaccine CoronavirusVaccine NoVaccineForMe CovidIndia CovidVaccineIndia COVID 19 FDA CDC FireFauci,Negative
1396302225174011908,,,2021-05-23 08:39:27 +0530,INDIA India Respected Ministry Jai Hind Being a common citizen request you please focus on vaccination Then we can stop COVIDEmergency COVID19Vaccine,Negative
1396302204777078787,,,2021-05-23 08:39:22 +0530,TS SinghDeo Chhattisgarh CGNews COVID19Vaccine CoronaPandemic,Neutral
1396302063974424579,,,2021-05-23 08:38:48 +0530,Today I did it COVID19Vaccine For a better World and a better future vaccine better world future noproblems Smile,Positive
1396301524595138566,,,2021-05-23 08:36:40 +0530,INDIA India Respected Ministry Jai Hind Being a common citizen request you please focus on vaccination Then we can stop COVIDEmergency COVID19Vaccine,Negative
1396301495532875776,,,2021-05-23 08:36:33 +0530,Please remove CoWinVaccinatorApp as it is a nuisance app and doesn t work as advertised It s rating on playstore is 1 7 which is sufficient to proove my point COVID19Vaccine,Neutral
1396301165239980032,,,2021-05-23 08:35:14 +0530,It s sad but also really American that people have to be enticed to get the COVID19Vaccine Not gonna lie it didn t hurt that my job paid me to do it but you would think that you and your families health would be a priority,Negative
1396301063871877123,,,2021-05-23 08:34:50 +0530,Mohon semua yg peduli Rakyat Malaysia tlg war2kan peluang terkini mendapatkan COVID19Vaccine AstraZeneca dgn segera daftar ke http vaksincovid gov my jgn terlepas peluang melindungi diri amp keluarga dr COVID19 Saya tlh mendaftarkan keluarga termasuk ibu amp mertua sblm ni,Neutral
1396300805976645637,,,2021-05-23 08:33:48 +0530,personally verified COVAXIN VACCINE AVAILABLE Acharya Atre Rang Mandir Pimpri Pune DM for address vaccinating on walk in basis as well Vaccinate only if urgent AMPLIFY Covaxin COVID19Vaccine PuneFightsCorona VaccineShortage CovidResources,Positive
